record_type,timestamp_epoch_s,elapsed_ms,iteration,cold_start,stage,process_rss_mb,system_ram_used_mb,system_ram_percent,cpu_percent,gpu_vram_used_mb,gpu_vram_total_mb,gpu_vram_percent,dsp_latency_ms,speechbrain_latency_ms,ollama_latency_ms,end_to_end_latency_ms,replay_detected,speaker_score,risk_tier,subject_class,source_file,condition,trial,similarity_score,extraction_latency_ms,threshold,genuine_trials,impostor_trials,false_rejections,false_acceptances,frr,far,overlap_count,overlap_ms,tracker_overlap_attempts,configured_speaker_threshold,vram_ceiling_mb,vram_ceiling_compliant,error
pipeline_iteration,,,1,True,,,,,,,,,164.4992999790702,2688.707199995406,12982.349400001112,15836.766599997645,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,2,False,,,,,,,,,38.968400011071935,413.58649998437613,13052.674999984447,13505.733500001952,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,3,False,,,,,,,,,23.2642000191845,412.0608000084758,11778.321099991444,12214.012300013565,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,4,False,,,,,,,,,34.75420002359897,394.19720001751557,12249.40339999739,12678.822499990929,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,5,False,,,,,,,,,28.058900003088638,464.3133000063244,12509.94669998181,13002.816000021994,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,6,False,,,,,,,,,24.43330001551658,410.40250001242384,11553.16579999635,11988.457100000232,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,7,False,,,,,,,,,33.042099996237084,413.88149998965673,11809.217000001809,12256.614899990382,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,8,False,,,,,,,,,21.86720000463538,415.5641999968793,11464.932900009444,11902.880799985724,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,9,False,,,,,,,,,22.783399996114895,388.8528000097722,10595.191599975806,11007.30329999351,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,10,False,,,,,,,,,28.205600014189258,418.46679997979663,12266.062800015789,12713.363199989544,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,11,False,,,,,,,,,26.03030001046136,419.83840000466444,11746.172199986177,12192.46070002555,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,12,False,,,,,,,,,23.525299999164417,420.5309999815654,11818.09549999889,12262.88629998453,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,13,False,,,,,,,,,25.170000008074567,429.48079999769107,11504.24280000152,11959.390000003623,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,14,False,,,,,,,,,35.15090001747012,405.2013999898918,10768.780599988531,11209.542900003726,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,15,False,,,,,,,,,30.10309999808669,398.8703000068199,11300.137799989898,11729.839900013758,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,16,False,,,,,,,,,25.622600020142272,406.16230000159703,11431.12839999958,11863.363999989815,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,17,False,,,,,,,,,26.332000008551404,391.58619998488575,10769.957099983003,11188.38490001508,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,18,False,,,,,,,,,31.957700004568323,401.83470002375543,11427.277300012065,11861.489399976563,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,19,False,,,,,,,,,26.812299998709932,405.133799999021,10449.978199991165,10882.38579998142,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
pipeline_iteration,,,20,False,,,,,,,,,28.443099989090115,404.11269999458455,12049.81170000974,12482.824500009883,False,0.9999999588271842,LOW,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.616554,1.2936000130139291,,,IDLE,343.96484375,7258.4765625,91.7,0.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.6272666,12.42320000892505,,,IDLE,344.109375,7258.40234375,91.7,20.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.644236,28.431300015654415,,,IDLE,344.34375,7258.29296875,91.7,28.6,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.668019,53.360699996119365,,,IDLE,345.6875,7257.4140625,91.7,25.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.6784487,63.92370001412928,,,IDLE,345.953125,7257.43359375,91.7,20.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.6898513,74.87000001128763,,,IDLE,346.38671875,7257.39453125,91.7,9.1,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.7037992,88.83890000288375,,,IDLE,346.5859375,7257.359375,91.7,0.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.7266452,111.65639999671839,,,IDLE,346.9296875,7257.359375,91.7,20.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.7427602,127.80270000803284,,,IDLE,347.30859375,7257.4453125,91.7,42.9,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.7583876,143.40400000219233,,,IDLE,347.57421875,7258.75,91.7,25.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.7736185,158.64119998877868,,,IDLE,348.22265625,7259.4140625,91.7,30.8,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.7881696,172.81970000476576,,,IDLE,348.67578125,7260.98046875,91.7,25.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.79885,183.94859999534674,,,IDLE,349.17578125,7262.7890625,91.8,25.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.8111534,196.17270000162534,,,IDLE,349.67578125,7265.828125,91.8,0.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.8303745,215.4154000163544,,,IDLE,350.90234375,7282.15625,92.0,25.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.8459387,230.3879999963101,,,IDLE,351.8046875,7286.26953125,92.1,27.3,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.8584414,243.468100001337,,,IDLE,352.53125,7287.1953125,92.1,0.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.8713372,256.2698000110686,,,IDLE,352.875,7287.1953125,92.1,6.2,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.8851254,269.81789999990724,,,IDLE,353.4921875,7287.24609375,92.1,16.7,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.899771,284.4635999936145,,,IDLE,354.140625,7286.84375,92.1,33.3,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.9106958,295.6996000139043,,,IDLE,354.4765625,7286.87109375,92.1,22.2,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.9224665,308.1240000028629,,,IDLE,354.875,7287.15234375,92.1,0.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.9338415,318.86759999906644,,,IDLE,355.796875,7293.27734375,92.1,18.2,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.9468813,331.786299997475,,,IDLE,356.0625,7292.83203125,92.1,20.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.9675963,352.6041000150144,,,IDLE,356.25,7281.24609375,92.0,31.2,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.9777756,363.06790000526235,,,IDLE,356.5234375,7281.265625,92.0,10.0,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
resource_sample,1787296430.9954078,380.43809999362566,,,IDLE,357.359375,7281.21875,92.0,16.7,134.0,4096.0,3.271484375,,,,,,,,,,,,,,,,,,,,,,,,,,,
